length 属性长度
numCount 数字个数
chineseCount 中文个数
containsLocationCount 包含地名个数
containsFirstNameCount 包含姓氏的个数
firstTwoNum 开头的前两位数字
firstThreeNum 开头的前三位数字
containsSpecialWordCount 包含特殊字的个数
containsSpecialmarkCount 包含分隔符的个数
containsAt 是否包含@
containsDate 是否包含日期
onlyNum 是否是纯数字
onlyEnglish 只是英文字符
onlyChinese 只是汉字
containsDot 是否包含小数点
